ratio,seed,iteration,effective_rank,bridge_capacity,subspace_separation,specialization_index,path_diversity
0,123,1000,71.8675308227539,0.32407307624816895,1.3910694122314453,0.12538049121697745,2.8130584292941623e-05
0,123,10000,70.99608612060547,0.3675188720226288,1.4114348888397217,0.13619679709275564,0.0001306089825100369
0,123,11000,70.85526275634766,0.3723892867565155,1.4063551425933838,0.13869553556044897,0.0001367322603861491
0,123,12000,70.61042785644531,0.37774232029914856,1.4048216342926025,0.14193031440178552,0.00014231696835270634
0,123,13000,70.2753677368164,0.3817088007926941,1.4050953388214111,0.14538374294837317,0.00014793363323918095
0,123,14000,69.98503875732422,0.3863798677921295,1.4110815525054932,0.14790385216474533,0.00015347094006008572
0,123,15000,69.80050659179688,0.3903282880783081,1.4084970951080322,0.1507073442141215,0.00015937181755348487
0,123,16000,69.72309875488281,0.3943530321121216,1.407900094985962,0.15332556267579397,0.00016445880466037328
0,123,17000,69.41647338867188,0.3978048861026764,1.4139679670333862,0.15590830395619074,0.00016917154524061416
0,123,18000,69.11479187011719,0.4012826383113861,1.4157041311264038,0.15839401632547379,0.00017407136493259007
0,123,19000,68.8253173828125,0.4046536684036255,1.415624737739563,0.16103797405958176,0.00017890116020485207
0,123,2000,73.42515563964844,0.32259073853492737,1.3636410236358643,0.11481306453545888,5.97738645694874e-05
0,123,20000,68.53087615966797,0.40761691331863403,1.4197750091552734,0.1636274332801501,0.00018356540468004014
0,123,21000,68.4622573852539,0.41059988737106323,1.4206154346466064,0.1659405305981636,0.00018876559646041304
0,123,22000,68.16602325439453,0.41343697905540466,1.4216535091400146,0.16833908607562384,0.00019288186673764829
0,123,23000,67.84149932861328,0.4159521162509918,1.4222431182861328,0.17089946319659552,0.00019703782046282732
0,123,24000,67.50396728515625,0.418468177318573,1.4206725358963013,0.17320828636487326,0.0002010629971822103
0,123,25000,67.2817153930664,0.42090126872062683,1.424835443496704,0.17512342085440954,0.00020597906465883608
0,123,26000,66.94734954833984,0.4233153462409973,1.422214150428772,0.17755731691916785,0.0002101176756399649
0,123,27000,66.61700439453125,0.42580094933509827,1.4254584312438965,0.18023468305667242,0.00021377971437242297
0,123,28000,66.31120300292969,0.4277310371398926,1.4223976135253906,0.1823905035853386,0.00021777513292100693
